epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1024.2,1.09105,1.32455,1.07258,0.78408,0.62601,0.67818,0.4178,1.51536,2.49687,1.35786,0.000660045,0.000660045,0.000660045
43,1045.96,1.1576,1.34875,1.0966,0.9343,0.53115,0.71272,0.44481,1.20721,2.34244,1.34285,0.000649046,0.000649046,0.000649046
44,1067.98,1.2258,1.44437,1.1417,0.69363,0.68158,0.67494,0.40501,1.21668,2.34752,1.21076,0.000638047,0.000638047,0.000638047
45,1090.42,1.17343,1.41006,1.09593,0.85188,0.59968,0.68376,0.44125,1.39784,2.02313,1.17325,0.000627048,0.000627048,0.000627048
46,1113.49,1.19847,1.38784,1.14092,0.72187,0.636,0.68828,0.45981,1.39724,1.966,1.19256,0.000616049,0.000616049,0.000616049
47,1135.97,1.15917,1.38584,1.12787,0.6952,0.70637,0.72236,0.48654,1.15293,2.0349,1.13147,0.000605051,0.000605051,0.000605051
48,1159.37,1.1651,1.37322,1.11216,0.80879,0.64454,0.69316,0.46258,1.10679,1.90637,1.14779,0.000594052,0.000594052,0.000594052
49,1182.82,1.14864,1.31209,1.08776,0.84711,0.60354,0.66698,0.43942,1.13476,2.21782,1.11959,0.000583053,0.000583053,0.000583053
50,1206.3,1.20693,1.37561,1.15123,0.82173,0.56423,0.68048,0.46125,1.19132,2.17362,1.08041,0.000572054,0.000572054,0.000572054
51,1229.61,1.13179,1.3864,1.11267,0.73718,0.66593,0.69287,0.46227,1.15376,1.88794,1.02647,0.000561055,0.000561055,0.000561055
52,1253.21,1.17211,1.42741,1.11584,0.78775,0.64822,0.68071,0.43642,1.17762,1.77689,1.0141,0.000550056,0.000550056,0.000550056
53,1276.84,1.07033,1.24001,1.06803,0.76101,0.65009,0.72645,0.46831,1.2038,1.71071,1.04667,0.000539057,0.000539057,0.000539057
54,1300.91,1.06626,1.26338,1.08049,0.77089,0.6848,0.76461,0.48669,1.1672,1.54017,1.00428,0.000528058,0.000528058,0.000528058
55,1324.5,1.15101,1.3232,1.09888,0.7463,0.68373,0.74371,0.49363,1.14373,1.50359,0.99743,0.000517059,0.000517059,0.000517059
56,1347.99,1.11182,1.30813,1.0827,0.73424,0.68678,0.73915,0.48663,1.15528,1.6924,0.97483,0.00050606,0.00050606,0.00050606
57,1371.19,1.16897,1.34129,1.12029,0.84884,0.59287,0.71489,0.47891,1.09406,1.72661,0.94836,0.000495062,0.000495062,0.000495062
58,1394.67,1.14525,1.33143,1.10824,0.71382,0.64412,0.70144,0.48525,0.93951,1.67247,0.89669,0.000484063,0.000484063,0.000484063
59,1417.83,1.09462,1.22386,1.06661,0.75618,0.64491,0.71658,0.4929,1.21987,1.67223,0.99136,0.000473064,0.000473064,0.000473064
60,1441.8,1.15809,1.25548,1.0986,0.74949,0.63177,0.71856,0.47942,1.06787,1.84249,0.91765,0.000462065,0.000462065,0.000462065
61,1465.37,1.19674,1.32545,1.10117,0.75881,0.60746,0.7032,0.48783,1.13295,1.7244,0.98072,0.000451066,0.000451066,0.000451066
62,1488.85,1.10523,1.21085,1.07473,0.76618,0.64976,0.72647,0.51383,1.06487,1.65434,0.96109,0.000440067,0.000440067,0.000440067
63,1512.1,1.09253,1.17545,1.05194,0.82135,0.65263,0.76646,0.52188,1.07648,1.86866,0.96286,0.000429068,0.000429068,0.000429068
64,1535.75,1.09881,1.28709,1.08102,0.69318,0.65095,0.72175,0.50577,1.13539,1.65822,1.00517,0.000418069,0.000418069,0.000418069
