epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,480.617,1.07204,1.31409,1.20259,0.88064,0.70153,0.75399,0.58017,0.9224,1.4809,1.12971,0.000848969,0.000848969,0.000848969
43,491.514,0.96256,1.21598,1.1846,0.80581,0.74603,0.76008,0.55825,0.9539,1.38432,1.10272,0.000834822,0.000834822,0.000834822
44,502.571,1.07855,1.38105,1.21167,0.93216,0.71973,0.79282,0.57155,1.01152,1.36391,1.11912,0.000820675,0.000820675,0.000820675
45,513.391,1.00924,1.23544,1.13222,0.92625,0.70899,0.79769,0.57946,0.9994,1.31454,1.10809,0.000806528,0.000806528,0.000806528
46,524.188,0.95057,1.20252,1.14991,0.81446,0.73354,0.8289,0.57602,1.04023,1.29079,1.13355,0.00079238,0.00079238,0.00079238
47,535.044,0.97327,1.28097,1.16107,0.90449,0.69397,0.79532,0.56723,1.04841,1.26266,1.12891,0.000778233,0.000778233,0.000778233
48,545.914,1.01318,1.28539,1.17469,0.92656,0.69828,0.82128,0.58664,1.04393,1.18813,1.11535,0.000764086,0.000764086,0.000764086
49,556.717,0.98668,1.25842,1.21407,0.83073,0.71987,0.81424,0.59006,1.01877,1.1639,1.09875,0.000749939,0.000749939,0.000749939
50,567.537,1.0205,1.22583,1.18833,0.8479,0.77673,0.84161,0.60021,0.96836,1.18373,1.07843,0.000735792,0.000735792,0.000735792
51,578.409,1.03921,1.21272,1.18837,0.84838,0.77655,0.86384,0.61344,0.95428,1.16635,1.08395,0.000721645,0.000721645,0.000721645
52,589.313,0.97729,1.3155,1.19798,0.99507,0.64589,0.84724,0.58796,0.96399,1.19164,1.10142,0.000707498,0.000707498,0.000707498
53,600.12,1.0353,1.31127,1.2301,0.80717,0.74074,0.81835,0.56123,0.98564,1.19668,1.10342,0.000693351,0.000693351,0.000693351
54,610.946,1.03937,1.30354,1.19545,0.8461,0.68895,0.76374,0.52078,1.04824,1.27604,1.15506,0.000679204,0.000679204,0.000679204
55,621.912,0.97562,1.20093,1.15127,0.79911,0.60736,0.72789,0.52221,1.0306,1.42182,1.17241,0.000665057,0.000665057,0.000665057
56,632.875,1.00153,1.26046,1.19732,0.74226,0.65781,0.71722,0.50304,1.02245,1.51993,1.15271,0.000650909,0.000650909,0.000650909
57,643.818,1.02497,1.25855,1.2333,0.76079,0.64805,0.71516,0.49158,1.00359,1.51741,1.14643,0.000636762,0.000636762,0.000636762
58,654.712,0.93101,1.20962,1.1666,0.73036,0.62434,0.71724,0.51452,0.95795,1.45681,1.11765,0.000622615,0.000622615,0.000622615
59,665.368,0.81121,1.15182,1.07496,0.76909,0.61951,0.7117,0.54209,0.92416,1.37245,1.09436,0.000608468,0.000608468,0.000608468
60,676.251,0.96557,1.24204,1.18355,0.81369,0.68699,0.7447,0.55599,0.92869,1.25966,1.08976,0.000594321,0.000594321,0.000594321
61,687.069,0.94051,1.18383,1.16996,0.775,0.72212,0.75289,0.5664,0.9457,1.26258,1.09246,0.000580174,0.000580174,0.000580174
